Athlete,Country,01.02.2025,02.02.2025,02.03.2025,07.12.2025,12.12.2025,14.03.2025,14.12.2025,15.11.2025,16.11.2025,21.02.2025,22.11.2025,23.02.2025,23.11.2025,26.01.2025,28.02.2025
Merijn Scheperkamp,NED,0.08799999999999386,-0.058000000000006935,-0.21000000000000085,0.5519999999999996,0.4479999999999933,0.40800000000000125,,0.48799999999999244,0.5339999999999989,0.22999999999999687,0.6460000000000008,,0.5339999999999918,0.40400000000000347,-0.0799999999999983
Min-Seok Kim,HUN,,,,,,,,,1.554000000000002,1.240000000000002,,,,1.1739999999999995,
Moritz Klein,GER,,1.0719999999999956,,,,,,1.3079999999999927,1.1139999999999972,1.1499999999999986,0.955999999999996,1.2620000000000005,1.343999999999994,1.3940000000000055,1.0
Nikita Vazhenin,KAZ,,,1.1000000000000014,,,,,,,0.990000000000002,,0.9819999999999993,,1.2340000000000018,0.75
Nil Llop Izquierdo,ESP,0.7079999999999984,0.5919999999999987,0.1700000000000017,0.5919999999999987,0.607999999999997,,0.4420000000000073,0.5879999999999939,0.5640000000000001,0.4799999999999969,0.1460000000000008,0.5019999999999953,0.4439999999999955,0.6540000000000035,0.3400000000000034
Oliver Grob,SUI,1.1879999999999953,1.6119999999999948,1.1099999999999994,2.112000000000002,1.4679999999999964,,1.2920000000000087,1.617999999999995,1.304000000000002,1.6700000000000017,1.0859999999999985,1.2919999999999945,1.3839999999999932,1.5840000000000032,1.6000000000000014
Piotr Michalski,POL,0.2779999999999987,0.16199999999999903,0.13000000000000256,0.9519999999999982,0.3780000000000001,0.6180000000000021,0.372000000000007,0.5079999999999956,0.6039999999999992,0.29999999999999716,0.42600000000000193,0.19200000000000017,,0.7640000000000029,0.20000000000000284
Prokop Stodola,CZE,,,,,3.147999999999996,,3.142000000000003,,,,2.915999999999997,,2.863999999999997,,
Pål Myhren Kristensen,NOR,0.8079999999999998,0.8519999999999968,0.6700000000000017,,,,,,,0.8900000000000006,,0.8519999999999968,,0.6540000000000035,0.8700000000000045
Robbe Beelen,BEL,,,1.3299999999999983,2.2920000000000016,2.1879999999999953,,2.162000000000006,1.9479999999999933,,,1.7560000000000002,,2.2339999999999947,1.6540000000000035,1.5
Ryota Kojima,JPN,,,,,,0.48799999999999955,,,,,,0.19200000000000017,,0.3240000000000052,0.4299999999999997
Sanghyeok Cho,KOR,,,0.13000000000000256,0.661999999999999,0.5279999999999987,0.4679999999999964,0.5820000000000078,0.5979999999999919,0.5940000000000012,0.6299999999999955,0.34599999999999653,0.43199999999999505,,0.4239999999999995,0.04000000000000625
Sebastian Diniz,NED,0.15799999999999415,-0.018000000000000682,-0.17999999999999972,0.19200000000000017,0.14799999999999613,,0.01200000000000756,0.7079999999999913,0.3639999999999972,0.03999999999999915,-0.0940000000000012,-0.06800000000000495,0.3739999999999952,,-0.30999999999999517
Sebastian Forsmark,SWE,,,,1.7119999999999962,1.867999999999995,,1.3520000000000039,1.6979999999999933,1.564,,1.455999999999996,,1.4839999999999947,,
Serge Yoro,NED,,,,,,,0.8420000000000059,,,,,,,,
Siver Brattgjerd,NOR,,,,1.1019999999999968,0.607999999999997,,0.5820000000000078,0.8179999999999978,0.554000000000002,,0.6559999999999988,,0.9639999999999915,,
Stefan Westenbroek,NED,,0.12199999999999989,0.28999999999999915,,0.40799999999999415,,0.26200000000000756,,0.5039999999999978,0.29999999999999716,0.28600000000000136,0.001999999999995339,0.3739999999999952,0.37400000000000233,0.5100000000000051
Szymon Wojtakowski,POL,,,,,,,0.8020000000000067,,,,,,,,
Tae-Yun Kim,KOR,,,,,,1.088000000000001,,,,1.1299999999999955,,,,0.5940000000000012,0.730000000000004
Taiyo Nonomura,JPN,,0.4019999999999939,,,,,,,,,,,,,
Tatsuya Shinhama,JPN,0.07799999999999585,-0.32800000000000296,-0.2700000000000031,0.402000000000001,0.30799999999999983,0.14800000000000324,0.03200000000000358,,0.3639999999999972,0.030000000000001137,,-0.06800000000000495,0.05399999999999494,0.24399999999999977,-0.3499999999999943
Tingyu Gao,CHN,,,,0.3719999999999999,,,5.372000000000007,-0.02200000000000557,0.29399999999999693,0.3299999999999983,0.10600000000000165,-0.04800000000000182,0.16399999999999437,0.3539999999999992,0.39000000000000057
Tuukka Suomalainen,FIN,1.1479999999999961,,0.9399999999999977,2.0319999999999965,1.5479999999999947,,1.4820000000000064,1.857999999999997,1.3740000000000023,1.3599999999999994,1.4960000000000022,1.0619999999999976,,1.7340000000000018,1.1300000000000026
Wataru Morishige,JPN,0.30799999999999983,-0.008000000000002672,-0.259999999999998,-0.03800000000000381,0.027999999999998693,0.09799999999999898,0.32200000000000273,-0.01200000000000756,0.003999999999997783,0.0899999999999963,-0.054000000000002046,-0.1980000000000004,-0.016000000000005343,0.2839999999999989,-0.04999999999999716
Wei-Lin Tai,TPE,,,,1.2819999999999965,1.1280000000000001,,1.0420000000000087,1.2279999999999944,1.2239999999999966,,0.6659999999999968,,1.0339999999999918,1.274000000000001,
Yankun Zhao,CAN,,,,,,,,,,,0.4159999999999968,,0.4239999999999924,,
Yevgeniy Koshkin,KAZ,,,-0.5,0.20199999999999818,0.24799999999999756,0.1880000000000024,0.08200000000000784,0.47799999999999443,-0.26599999999999824,0.01999999999999602,0.44599999999999795,-0.48799999999999955,0.5239999999999938,0.2640000000000029,-0.4299999999999997
Yuuma Murakami,JPN,,,,0.9819999999999993,0.8279999999999959,,0.5620000000000047,0.3879999999999981,0.3639999999999972,,0.4960000000000022,,0.5139999999999958,,
Yuuta Hirose,JPN,,,,0.2220000000000013,0.047999999999994714,,-0.0379999999999967,0.2879999999999967,,,0.13600000000000279,,0.5139999999999958,,
Zach Stoppelmoor,USA,0.32799999999999585,,,0.8219999999999956,0.7279999999999944,0.7479999999999976,0.7520000000000024,,0.4339999999999975,0.5399999999999991,0.5360000000000014,0.6119999999999948,0.6339999999999932,0.5240000000000009,0.38000000000000256
Ze Liu,CHN,,,,0.49199999999999733,0.4679999999999964,,0.27200000000000557,0.7079999999999913,0.7640000000000029,,0.4660000000000011,,1.103999999999992,,
Zhiwen Xue,CHN,0.6379999999999981,0.3719999999999999,0.5399999999999991,0.3019999999999996,0.7779999999999987,0.9480000000000004,5.992000000000004,-0.0020000000000024443,-0.08599999999999852,0.490000000000002,-0.044000000000004036,0.6920000000000002,0.46399999999999153,,0.8500000000000014
Ziwen Lian,CHN,0.48799999999999955,0.25199999999999534,0.19999999999999574,0.44200000000000017,0.367999999999995,0.6480000000000032,0.392000000000003,0.3079999999999927,0.19400000000000261,0.3999999999999986,0.11599999999999966,0.12199999999999989,0.15399999999999636,1.014000000000003,0.3500000000000014
