Athlete,Country,01.02.2025,02.02.2025,02.03.2025,07.12.2025,12.12.2025,14.03.2025,14.12.2025,15.11.2025,16.11.2025,21.02.2025,22.11.2025,23.02.2025,23.11.2025,26.01.2025,28.02.2025
Kaja Ziomek-Nogal,POL,-0.19000000000000483,-0.28600000000000136,-0.4160000000000039,0.18999999999999773,-0.24800000000000466,0.5219999999999985,-0.3640000000000043,0.006000000000000227,0.5399999999999991,0.0940000000000012,,-0.13400000000000034,0.23199999999999932,0.19600000000000506,0.1599999999999966
Kako Yamane,JPN,0.9699999999999989,0.9239999999999995,1.3639999999999972,,,,,,,1.524000000000001,,1.5159999999999982,,1.2960000000000065,1.2100000000000009
Karolina Bosiek,POL,0.6099999999999994,0.4439999999999955,0.16400000000000148,1.0599999999999952,0.7819999999999965,0.3919999999999959,0.7759999999999962,1.186,1.009999999999998,,0.8599999999999994,0.16599999999999682,0.8320000000000007,0.5660000000000025,0.44999999999999574
Kimi Goetz,USA,0.18999999999999773,0.6340000000000003,,,,,,,,,,,,0.3960000000000008,
Kristina Silaeva,KAZ,,,-0.10600000000000165,,0.1319999999999979,0.12199999999999278,0.0659999999999954,0.3260000000000005,0.35999999999999943,0.14399999999999835,0.0800000000000054,-0.044000000000004036,0.4519999999999982,-0.04399999999999693,0.3299999999999983
Kurumi Inagawa,JPN,-0.3100000000000023,-0.18599999999999994,-0.19599999999999795,0.8599999999999923,0.9719999999999942,0.7519999999999953,0.5159999999999982,0.7560000000000002,0.6899999999999977,0.3539999999999992,0.2700000000000031,-0.2640000000000029,0.6219999999999999,-0.05399999999999494,0.05999999999999517
Laura Kivioja,FIN,2.3999999999999986,2.253999999999998,3.043999999999997,3.049999999999997,2.5719999999999956,,2.715999999999994,2.3459999999999965,2.3900000000000006,2.363999999999997,2.0800000000000054,2.3359999999999985,1.9619999999999962,2.5760000000000005,2.8699999999999974
Luisa María Gonzalez Salazar,ESP,1.4099999999999966,1.1539999999999964,0.9939999999999998,1.6499999999999915,1.8419999999999987,,1.186,1.676000000000002,1.8200000000000003,1.4039999999999964,1.8300000000000054,1.1259999999999977,1.641999999999996,1.5760000000000005,1.2999999999999972
Maddison Pearman,CAN,,,,,,,,,,,,1.6360000000000028,,,
Margarita Galiyeva,KAZ,,,,,,,,,,,,,,2.196000000000005,
Maria Victoria Rodriguez,ARG,1.6799999999999997,1.4739999999999966,,1.6599999999999966,1.7219999999999942,,0.5359999999999943,1.225999999999999,1.3999999999999986,,1.6099999999999994,,1.381999999999998,,
Marrit Fledderus,NED,,,,-0.12000000000000455,0.021999999999998465,,,0.036000000000001364,0.10999999999999943,0.3639999999999972,-0.11999999999999744,,-0.07800000000000296,0.36599999999999966,
Marte Bjerkreim Furnée,NOR,,,,3.579999999999991,,,,,,,,,,,
Martyna Baran,POL,0.8399999999999963,0.8939999999999984,0.7539999999999978,0.539999999999992,-0.07800000000000296,,-0.2540000000000049,0.27599999999999625,0.259999999999998,0.7139999999999986,0.19000000000000483,0.8260000000000005,0.23199999999999932,1.3160000000000025,1.1799999999999997
Mathilde Pédronno,FRA,,,,1.5999999999999943,1.6019999999999968,,0.9259999999999948,2.0959999999999965,2.020000000000003,,1.6300000000000026,,1.7119999999999962,,
Maybritt Vigl,ITA,,,,1.5999999999999943,1.3119999999999976,,1.1659999999999968,1.475999999999999,1.1899999999999977,,1.4400000000000048,,1.3519999999999968,,
McKenzie Browne,USA,1.4299999999999997,0.9139999999999944,1.2139999999999986,1.6399999999999935,1.4919999999999973,,,1.6159999999999997,1.740000000000002,1.6739999999999995,1.5400000000000063,1.8160000000000025,1.4720000000000013,1.5060000000000002,1.6199999999999974
Meng Xu,CHN,1.0899999999999963,0.5439999999999969,1.2139999999999986,,,,,,,1.1439999999999984,,0.7860000000000014,,1.456000000000003,0.8900000000000006
Michelle de Jong,NED,,,,,,,,,,0.8639999999999972,,0.3160000000000025,,,
Mihaela Hogas,ROU,,,,,,,,2.2860000000000014,1.759999999999998,,1.990000000000002,,1.8419999999999987,1.966000000000001,
Miho Takagi,JPN,,,,0.36999999999999744,,,,,,-0.20600000000000307,,,,,
Min-Jee Kim,KOR,,,,,,,,,,,,,,1.3260000000000005,
Min-Seon Kim,KOR,,,-0.34600000000000364,0.1799999999999926,-0.04800000000000182,-0.018000000000007788,-0.3640000000000043,0.4159999999999968,0.46000000000000085,0.40399999999999636,0.5300000000000011,-0.23400000000000176,0.35199999999999676,0.17600000000000193,-0.1600000000000037
Na-Hyeon Lee,KOR,,,-0.3059999999999974,0.36999999999999744,0.16199999999999903,,-0.284000000000006,0.17600000000000193,0.030000000000001137,0.6340000000000003,0.030000000000001137,-0.30400000000000205,0.1319999999999979,0.1460000000000008,0.09999999999999432
Nadezhda Morozova,KAZ,,,1.4239999999999995,,,,,0.8459999999999965,,,0.4299999999999997,,0.8819999999999979,,
Naomi Verkerk,NED,0.21000000000000085,0.16399999999999437,-0.19599999999999795,,,,,,,0.29399999999999693,,-0.06400000000000006,,,0.09999999999999432
Nikola Zdráhalova,CZE,,,,0.6899999999999977,1.0819999999999936,,,,,,1.230000000000004,,0.9519999999999982,1.456000000000003,
Rio Yamada,JPN,,,0.23400000000000176,0.8399999999999963,0.6119999999999948,0.41199999999999193,0.045999999999999375,0.9660000000000011,0.6199999999999974,0.29399999999999693,0.7800000000000011,0.015999999999998238,0.43200000000000216,0.8860000000000028,0.3399999999999963
Rose Laliberté-Roy,CAN,1.0700000000000003,0.8840000000000003,1.064,,,0.9919999999999973,,,,1.054000000000002,1.3599999999999994,0.8459999999999965,1.2719999999999985,1.166000000000004,0.8399999999999963
Ruining Tian,CHN,,,-0.07600000000000051,0.3399999999999963,0.5419999999999945,0.5319999999999965,-0.12400000000000233,0.2459999999999951,0.4299999999999997,0.5039999999999978,0.37000000000000455,-0.0940000000000012,0.3620000000000019,0.4960000000000022,0.3399999999999963
Sarah Warren,USA,,1.4239999999999995,1.4540000000000006,1.1599999999999966,0.7919999999999945,,0.945999999999998,0.9359999999999999,1.3200000000000003,1.554000000000002,0.9100000000000037,1.3659999999999997,1.0919999999999987,,1.6499999999999986
Serena Pergher,ITA,0.269999999999996,0.023999999999993804,-0.036000000000001364,-0.010000000000005116,0.25199999999999534,0.3719999999999928,-0.15400000000000347,0.12599999999999767,0.45000000000000284,0.16400000000000148,0.04000000000000625,-0.014000000000002899,0.34199999999999875,0.3260000000000005,0.46999999999999886
Shihui Yu,CHN,0.7999999999999972,0.6839999999999975,1.4840000000000018,,,,,,,1.2239999999999966,,1.0060000000000002,,1.206000000000003,1.5
Sofia Thorup,DEN,,,1.0940000000000012,0.9299999999999926,0.6519999999999939,1.141999999999996,0.5159999999999982,0.9859999999999971,,1.4439999999999955,,1.216000000000001,0.9919999999999973,1.1260000000000048,
Sofie Adeberg,GER,,,,,,,,1.716000000000001,1.490000000000002,,1.5100000000000051,,1.421999999999997,,
Sophie Warmuth,GER,0.240000000000002,0.14399999999999835,0.1839999999999975,0.27999999999999403,-0.09800000000000608,0.5819999999999936,-0.16400000000000148,0.26599999999999824,0.4200000000000017,0.6340000000000003,0.13000000000000256,0.8260000000000005,0.3919999999999959,1.0960000000000036,0.19999999999999574
Suzanne Schulting,NED,0.05999999999999517,-0.3060000000000045,-0.28600000000000136,,,,,,,-0.045999999999999375,,-0.5339999999999989,,0.4860000000000042,0.01999999999999602
Vanessa Herzog,AUT,0.10999999999999943,0.14399999999999835,,,,,,0.7759999999999962,0.9399999999999977,0.6939999999999955,0.5500000000000043,0.3860000000000028,0.7419999999999973,0.6660000000000039,
Vera Güntert,SUI,2.9399999999999977,,2.503999999999998,,,,,,,2.7239999999999966,,,,,2.259999999999998
Xiaoxuan Shi,CHN,,,,1.529999999999994,1.6219999999999999,,0.7959999999999994,1.3759999999999977,1.7700000000000031,,1.1700000000000017,,0.9619999999999962,,
Ying-Chu Chen,TPE,,,,0.3499999999999943,0.4719999999999942,,0.18599999999999994,0.6159999999999997,0.3999999999999986,0.8740000000000023,-0.1599999999999966,0.5859999999999985,0.3019999999999996,0.5560000000000045,0.8099999999999952
Yukino Yoshida,JPN,-0.00999999999999801,-0.4660000000000011,-0.35600000000000165,-0.020000000000003126,-0.14800000000000324,0.20199999999999818,-0.544000000000004,-0.2839999999999989,0.060000000000002274,0.13400000000000034,,-0.12400000000000233,0.2819999999999965,0.16600000000000392,0.44999999999999574
