Athlete,Country,01.03.2025,05.12.2025,13.12.2025,14.11.2025,15.03.2025,21.11.2025,22.02.2025,24.01.2025,31.01.2025
Rose Laliberté-Roy,CAN,2.157999999999987,,,,,3.4680000000000035,2.769999999999996,2.0120000000000005,1.7579999999999956
Ruining Tian,CHN,,1.7899999999999778,3.015999999999991,1.6960000000000122,,2.328000000000003,,,
Sara Cabrera,ESP,5.007999999999981,5.909999999999982,5.685999999999993,4.976000000000013,,5.528000000000006,5.140000000000001,5.421999999999997,4.757999999999996
Sarah Warren,USA,5.567999999999984,2.9799999999999756,2.685999999999993,2.3560000000000088,,2.838000000000008,4.090000000000003,,
Serena Pergher,ITA,,3.6499999999999915,,3.0660000000000167,,2.647999999999996,,,
Sofia Thorup,DEN,1.637999999999991,1.1699999999999875,0.9059999999999917,2.13600000000001,2.533999999999992,0.4380000000000024,1.9599999999999937,1.7920000000000016,1.3979999999999961
Sofie Adeberg,GER,,4.159999999999982,,3.2560000000000144,,3.0080000000000098,,,
Soo-Min Kang,KOR,2.617999999999995,,,,2.823999999999998,,2.8400000000000034,1.152000000000001,
Sumire Kikuchi,JPN,,3.4499999999999886,2.0459999999999923,2.166000000000011,,2.2580000000000098,,,
Suzanne Schulting,NED,-0.2120000000000175,,1.2959999999999923,,,,0.030000000000001137,1.3619999999999948,1.2279999999999944
Vanessa Herzog,AUT,,2.3899999999999864,,2.206000000000003,,1.2780000000000058,1.7999999999999972,2.352000000000004,1.1979999999999933
Vera Güntert,SUI,4.817999999999984,,,4.356000000000009,,4.308000000000007,4.510000000000005,4.102000000000004,3.917999999999992
Veronika Antosova,CZE,,,,6.726000000000013,,6.628,,,
Ying-Chu Chen,TPE,,3.799999999999983,,3.2860000000000156,,2.808000000000007,3.969999999999999,2.5520000000000067,
Yukino Yoshida,JPN,2.427999999999983,0.5299999999999869,,1.2260000000000133,0.9039999999999964,0.23799999999999955,,1.4620000000000033,0.4380000000000024
Yuuka Takahashi,JPN,,,,,,,5.570000000000007,,
