Athlete,Country,02.02.2025,02.03.2025,07.12.2025,14.12.2025,16.03.2025,16.11.2025,23.02.2025,23.11.2025,26.01.2025
Momoka Horikawa,JPN,,,-6.861999999999966,1.5800000000000978,3.873999999999967,2.2240000000000464,3.1159999999999854,-2.7560000000000286,-8.008000000000038
Natalia Jabrzyk,POL,-23.470000000000027,36.41199999999992,26.418000000000006,13.420000000000073,8.493999999999971,20.653999999999996,3.995999999999981,13.884000000000015,2.0819999999999936
Natascha Lindenskov,DEN,58.95999999999992,,21.807999999999993,48.200000000000045,,13.024000000000001,,16.053999999999974,
Olga Piotrowska,POL,57.870000000000005,38.14199999999994,21.85800000000006,17.690000000000055,,14.004000000000019,,15.653999999999996,
Ramona Härdi,SUI,-8.210000000000036,-45.33800000000008,-4.421999999999969,1.3400000000000887,6.353999999999985,5.653999999999996,6.975999999999942,-3.396000000000015,-8.077999999999975
Sandrine Tas,BEL,,36.49199999999996,16.35800000000006,12.600000000000136,4.633999999999958,6.413999999999987,4.815999999999974,3.563999999999993,-4.987999999999943
Sara Cabrera,ESP,57.66999999999996,,,44.13000000000011,,39.964000000000055,,14.024000000000001,38.432000000000016
Sofia Thorup,DEN,,,,,,10.864000000000033,,,
Valerie Maltais,CAN,,-53.88800000000009,-6.391999999999996,-0.08999999999991815,1.343999999999994,-5.145999999999958,0.9359999999999786,-6.73599999999999,-9.237999999999943
Violette Braun,FRA,-21.180000000000064,38.011999999999944,18.347999999999956,12.610000000000127,,10.994000000000028,,12.553999999999974,-0.9779999999999518
Wenjing Jin,CHN,-23.730000000000018,-51.08800000000008,,,9.15399999999994,,3.73599999999999,,-10.807999999999993
Yoon-Jee Kim,KOR,,,,,,,,,11.692000000000007
Yuuka Takahashi,JPN,48.24000000000001,,,,,,,,
Zuzana Kursova,CZE,-19.159999999999968,-49.898000000000025,19.78800000000001,13.920000000000073,9.133999999999958,11.153999999999996,,15.194000000000017,30.04200000000003
